"plot","census","dominant_PFT","acom","bcom","ccom","minDBHcom","maxDBHcom","maxDBHdead","pattern","nb_trees","nb_deaths"
"T0304","2015-2020","DB-tree",-2.71885115667378,-0.0343392280195735,-0.407870767310557,0.999493042617103,61.3987939459914,16.90000132,"Declined",409,78
"T0305","2015-2020","EB-tree",-2.02975149338521,-0.129183338788518,0.202170659660931,1.100000026,48.8000886508369,18.20000118,"Unimodal",291,113
"T0306","2015-2020","EB-tree",-2.31987741220196,0.0341000387846536,-0.614329323882808,0.999493042617103,51.1014691279458,26.10000055,"U-shaped",390,101
"T0307","2015-2020","DB-tree",-1.88612572825003,0.0687763111952134,-1.01012197034935,0.999493042617103,46.9984546950367,43.50000623,"U-shaped",418,141
"T0308","2015-2020","EB-tree",-2.44348405173104,0.000242945025853997,-0.570350204555987,1.11408460164327,36.7011298769911,26.2923966,"Declined",254,59
"T0309","2015-2020","EB-tree",-2.13787758796589,-0.0326754318958441,-0.929779945743563,0.986760647169751,34.6957775940332,13.30535324,"Declined",208,50
"T0310","2015-2020","EB-tree",-2.83011876056893,0.0771861083334725,-1.12512711168591,0.999493042617103,42.0009894819512,12.70000105,"U-shaped",544,79
"T0311","2015-2020","EB-tree",-3.11312095039602,-0.0254482381552672,-0.246965467642803,0.986760647,53.1895819813114,30.99999928,"Declined",433,65
"T0312","2015-2020","EB-tree",-2.3247546891633,-0.0252709384395221,-0.666824008739369,0.999493042617103,54.8002300054014,17.59999978,"Declined",543,136
"T0313","2015-2020","EB-tree",-2.85863193312771,0.0713461845439785,-1.02388034402784,0.999493042617103,44.2005107954812,27.90000158,"U-shaped",620,98
"T0314","2015-2020","EB-tree",-2.53687546154946,-0.0475423860341172,-0.59142167078912,0.999493042617103,32.9005098359566,11.69999871,"Declined",732,154
"T0315","2015-2020","EB-tree",-2.24656462636693,0.0544402175653044,-0.871289229230821,0.999493042617103,36.3987354851165,13.3999995,"U-shaped",838,242
"T0316","2015-2020","EB-tree",-2.60098826935362,-0.0399346183483965,-0.536655707204221,0.999493042617103,40.6004259827425,13.29999927,"Declined",521,110
"T0317","2015-2020","EB-tree",-2.69677539583669,-0.0170159853076415,-0.379873056227528,0.999493042617103,38.7987920269422,15.69999852,"Declined",595,128
"T0318","2015-2020","EB-tree",-2.2398555708255,-0.0479172883589784,-0.548291392108999,0.999493042617103,32.499439379365,15.50000123,"Declined",343,87
"T0319","2015-2020","EB-tree",-2.22792505855745,-0.210655030904765,-0.0232457466119645,0.999493042617103,21.3999736481362,9.199999232,"Declined",411,101
"T0320","2015-2020","EB-tree",-2.95385145095598,0.0451492189125905,-0.597939869453755,0.999493042617103,28.3009319806008,17.00000156,"U-shaped",616,106
"T0401","2015-2020","DB-tree",-1.76601956473585,-0.111930462208056,-0.408372576931003,1.11408460164327,63.4073293278111,13.40084621,"Declined",173,61
"T0402","2015-2020","EB-tree",-2.90529509854608,-0.056346590895719,0.0665819354790532,1.100000026,64.2985970091257,20.70000066,"Unimodal",240,50
"T0403","2015-2020","EB-tree",-2.44249406094261,-0.108779112512969,0.189335418094202,0.999493042617103,47.3995251516283,25.69999962,"Unimodal",240,70
"T0404","2015-2020","EB-tree",-0.958525859958358,-0.00482423988617617,-0.613874448852067,1.11408460164327,31.5126787321953,26.38788956,"Declined",249,161
"T0405","2015-2020","EB-tree",-1.22125667333992,0.0542624331180161,-1.3058229317855,1.100000026,57.400821775523,37.4999922,"U-shaped",211,80
"T0406","2015-2020","EB-tree",-2.13880616388155,-0.0518984522282899,-0.161452411801695,0.986760647169751,50.0064831194735,22.18619907,"Declined",319,106
"T0407","2015-2020","EB-tree",-2.03365729301673,-0.290744914817608,-0.17675147288393,0.999493042617103,44.0986516319024,10.90000002,"Declined",215,44
"T0408","2015-2020","DB-tree",-2.33230029169734,-0.00541290124111489,-0.391783921822375,0.999493042617103,48.8987647155539,45.6997503594068,"Declined",249,72
"T0409","2015-2020","DB-tree",-2.77017783439751,0.0324189994294205,-0.730275906486324,0.999493042617103,48.1984829659496,18.30000141,"U-shaped",249,42
"T0410","2015-2020","EB-tree",-2.93559899389548,0.00688802581021014,-0.30729383316397,0.999493042617103,59.8008783173488,15.1000003,"U-shaped",462,86
"T0411","2015-2020","EB-tree",-2.96112588999895,0.0221240840418641,-0.364751470739849,0.999493042617103,46.6992434020239,21.1,"U-shaped",403,75
"T0412","2015-2020","EB-tree",-2.60202901483385,-0.0972134530390951,-0.112477955921792,0.999493042617103,43.7007642741726,9.800000635,"Declined",289,65
"T0413","2015-2020","EB-tree",-2.15088339183999,0.0047663730120543,-0.512280269436904,0.999493042617103,39.69999098,39.69999098,"Declined",302,95
"T0414","2015-2020","EB-tree",-2.72135365607522,0.0132757196787175,-0.599628193594679,0.999493042617103,46.1008208159984,16.40000015,"U-shaped",285,53
"T0415","2015-2020","DB-tree",-2.59740355420903,-0.0918377001770188,0.189813367896535,0.999493042617103,40.8009612110383,15.79999875,"Unimodal",367,104
"T0416","2015-2020","DB-tree",-2.73480231847281,-0.0527917029112862,-0.190975314542414,0.999493042617103,44.9994686098025,22.20000098,"Declined",346,75
"T0417","2015-2020","EB-tree",-2.98285475180753,-0.0568844632889036,-0.145160674073907,0.986760647,43.4015529811599,16.29999992,"Declined",370,66
"T0418","2015-2020","EB-tree",-3.13151804988022,-0.14175940653557,0.286879624116577,0.999493042617103,36.799805941708,20.19999949,"Unimodal",378,63
"T0419","2015-2020","EB-tree",-2.1882816810242,-0.0533244511977804,-0.929197626804782,0.999493042617103,30.0007067728223,13.80000044,"Declined",640,142
"T0420","2015-2020","EB-tree",-2.62104518544213,0.0800352049543873,-1.23838982805129,0.999493042617103,24.2011006465536,16.90000132,"U-shaped",761,123
"T0501","2015-2020","EB-tree",-1.90839839632389,-0.156961218335591,-1.12096645190656,0.986760647,43.0991585892853,6.398028712,"Declined",197,37
"T0502","2015-2020","EB-tree",-2.11338759481278,-0.119913402913868,-0.384151558379637,0.999493042617103,32.6012985429438,14.59999913,"Declined",226,54
"T0503","2015-2020","DB-tree",-1.19504010687515,-0.137768133732093,0.0137198965930654,1.100000026,86.5993876351621,24.09999906,"Declined",172,100
"T0504","2015-2020","EB-tree",-1.19777082798106,-0.0276908139291196,-0.0152365902340914,1.100000026,40.3012146897297,23.20000014,"Declined",196,145
"T0505","2015-2020","DB-tree",-2.16073490945754,0.0287302961913193,-0.684585547344187,1.100000026,61.3987939459914,25.49999915,"U-shaped",208,57
"T0506","2015-2020","EB-tree",-2.21850906966459,-0.0386215588344752,-0.0607610810836071,0.999493042617103,56.2994695693271,23.50000084,"Declined",254,90
"T0507","2015-2020","EB-tree",-1.9992714522632,0.12520194215693,-1.54758711942244,0.999493042617103,46.9984546950367,33.00001351,"U-shaped",489,127
"T0508","2015-2020","EB-tree",-2.42442031008866,-0.0882747804013908,-0.277338298258352,0.999493042617103,33.6994676502779,18.00000071,"Declined",276,65
"T0509","2015-2020","EB-tree",-2.04003667618511,-0.360045659474905,0.11454971578911,0.999493042617103,39.1998624835338,7.49999844,"Declined",272,67
"T0510","2015-2020","DB-tree",-2.42278323292819,-0.056618078877216,-0.277498547677183,0.986760647,60.797188261104,9.994930426,"Declined",342,90
"T0511","2015-2020","EB-tree",-1.95810724686182,-0.597941220464482,0.749304052036678,0.986760647,50.802257834933,5.602253997,"Unimodal",296,74
"T0512","2015-2020","EB-tree",-2.34846315422868,0.0325134508838113,-0.668574822975444,1.11408460164327,44.7862009860593,22.50450895,"U-shaped",452,111
"T0513","2015-2020","EB-tree",-2.71064850315067,-0.0122669264102462,-0.088469981726355,0.986760647,37.6878905241608,27.6929601,"Declined",441,112
"T0514","2015-2020","EB-tree",-2.28097761643892,0.0465667813242998,-0.964424563617907,0.986760647,41.4121161925112,23.01380477,"U-shaped",683,179
