"plot","census","dominant_PFT","acom","bcom","ccom","minDBHcom","maxDBHcom","maxDBHdead","pattern","nb_trees","nb_deaths"
"T0101","2010-2015","EB-tree",-3.34818851081169,-0.0383652195492832,-0.452419950598744,0.999493043,59,14.8,"Declined",297,29
"T0102","2010-2015","EB-tree",-3.34110573135391,0.0423991385015057,-0.866848847221618,0.999493043,40.39989075,18.2,"U-shaped",258,25
"T0103","2010-2015","EB-tree",-4.25101554954562,0.00719193483653481,-0.154733365924549,0.999493043,38.6014399,20.10126931,"U-shaped",219,14
"T0104","2010-2015","EB-tree",-4.4555634335357,0.00145236018866698,0.163848871073391,1.101352206,49.70090563,32.3,"Increased",242,18
"T0105","2010-2015","EB-tree",-3.31152050502076,0.020273433570945,-0.534258834612284,0.999493043,40.49856682,15.9,"U-shaped",358,43
"T0106","2010-2015","EB-tree",-3.55858137079288,0.120280160671448,-1.1888903226098,0.999493043,34.19921417,25.9,"U-shaped",368,29
"T0107","2010-2015","EB-tree",-3.2891169071715,-0.0486657666399657,-0.10288907222194,0.999493043,43.59890511,29.5,"Declined",263,33
"T0108","2010-2015","EB-tree",-4.38151274903657,0.0234621161550528,0.174770712730637,0.999493043,33.90000288,30.9,"Increased",162,16
"T0109","2010-2015","EB-tree",-2.81000732811147,0.0453281323965992,-1.19296940221716,0.999493043,47.69873644,24.2,"U-shaped",248,30
"T0110","2010-2015","EB-tree",-3.56933611693291,0.0633811048645701,-0.322244151154408,0.999493043,43.4,37.6,"U-shaped",205,27
"T0111","2010-2015","EB-tree",-3.74438758130947,-0.139507298099551,0.627845998068477,0.999493043,33.40025636,21.7,"Unimodal",280,34
"T0112","2010-2015","EB-tree",-3.09831079425542,-0.0175998697230821,0.0871402793548885,1,34.89949592,31.5,"Unimodal",243,50
"T0113","2010-2015","EB-tree",-5.16538038979151,-0.689291347208825,3.51850160510735,1.101352206,22.69867798,9.1,"Unimodal",156,17
"T0114","2010-2015","EB-tree",-3.15197383565175,0.175331746458345,-1.38986848144842,0.999493043,36.3,36.3,"U-shaped",445,56
"T0115","2010-2015","EB-tree",-3.54800019277314,-0.00703576300150215,-0.172370322459704,0.999493043,38.20036944,27.1,"Declined",367,42
"T0116","2010-2015","EB-tree",-3.18924464993072,0.149061526797372,-1.06407283665859,0.999493043,36.39873549,26.6,"U-shaped",355,47
"T0117","2010-2015","EB-tree",-3.53415989248101,-0.0675813511291463,0.265130358608144,0.999493043,27.49879107,19.6,"Unimodal",491,67
"T0118","2010-2015","EB-tree",-3.03499772872318,0.0502408824313337,-0.688324011201175,0.999493043,28.5,28.5,"U-shaped",447,54
"T0119","2010-2015","EB-tree",-3.87287691080677,-0.0910329250172166,0.694794220661044,1.1,21.8010441,17.6,"Unimodal",432,65
"T0120","2010-2015","EB-tree",-3.09034270620107,-0.0485661768756528,-0.0174178396122734,0.999493043,20.6996919,12.7,"Declined",515,90
"T0201","2010-2015","EB-tree",-3.51204523555394,-0.0282970511162659,-0.127846507658335,0.999493043,46.80110257,12.1,"Declined",263,30
"T0202","2010-2015","EB-tree",-4.29769909147302,-0.19547350770978,0.696193032340795,1.101352206,45.40053907,9.7,"Unimodal",221,14
"T0203","2010-2015","EB-tree",-3.61866767831851,0.0825289065972183,-0.651881837240686,0.999493043,51.69989171,48.7,"U-shaped",315,33
"T0204","2010-2015","EB-tree",-4.51518790045457,-0.0552550407028487,0.515763502554666,1,38.49958073,20.2,"Unimodal",271,21
"T0205","2010-2015","EB-tree",-3.6048729956621,-0.610791413985959,1.87966571433969,0.999493043,69.40110448,9.5,"Unimodal",209,23
"T0206","2010-2015","EB-tree",-3.99198434856811,-0.060979561910771,0.506263366543984,0.999493043,39.9988203,19.4,"Unimodal",276,33
"T0207","2010-2015","EB-tree",-3.81797224131857,0.107327864662183,-1.01369094590601,1.1,39.10118642,27.6,"U-shaped",348,23
"T0208","2010-2015","EB-tree",-4.01593792287214,0.0254207537006398,0.149894753595876,0.999493043,32.79865067,30.8,"Increased",367,41
"T0209","2010-2015","EB-tree",-4.96588197459116,-0.193521455010138,1.72053973138504,1.101352206,45.79842642,17.7,"Unimodal",157,16
"T0210","2010-2015","EB-tree",-3.79558570568154,0.0253825014218783,-0.350407776303377,0.999493043,33.49893242,17.6,"U-shaped",211,18
"T0211","2010-2015","EB-tree",-3.62346248130618,-0.0287797667747609,0.17466321161515,0.999493043,34.9,19.1,"Unimodal",235,32
"T0212","2010-2015","EB-tree",-3.39955372699851,0.101177204629878,-0.635476982792584,0.999493043,38.20036944,33.1,"U-shaped",331,43
"T0213","2010-2015","EB-tree",-4.39367753446562,0.00563310682624768,0.211631933441213,1.2,44.60158125,29.1,"Increased",250,21
"T0214","2010-2015","EB-tree",-3.19421078157464,0.014345519517897,-0.211499124035974,0.999493043,42.00098948,32.4,"U-shaped",350,59
"T0215","2010-2015","EB-tree",-4.08299238122267,-0.00328362458550728,0.179624100472974,0.999493043,34.69896069,33.4,"Increased",344,33
"T0216","2010-2015","EB-tree",-3.70373660582631,0.0327026839141567,-0.3071178165712,0.999493043,36.70112988,31.9,"U-shaped",390,40
"T0217","2010-2015","EB-tree",-3.03950138063087,0.134294381016454,-0.876237476483592,0.999493043,31.1,31.1,"U-shaped",243,40
"T0218","2010-2015","EB-tree",-3.67172639995248,-0.163494516413957,0.522591521261839,0.999493043,27.89986152,13.7,"Unimodal",348,37
"T0219","2010-2015","EB-tree",-3.34343805528404,-0.0426284325205553,0.0938949589256995,0.999493043,23.00107238,13.6,"Unimodal",327,50
"T0220","2010-2015","EB-tree",-3.16948045188425,-0.109608379062653,0.171984612606857,1,29.09988979,12.2,"Unimodal",340,52
"T0301","2010-2015","EB-tree",-3.05410649219772,0.0279355449093957,-0.388378524623355,0.999493043,50.2,27.5,"U-shaped",284,48
"T0302","2010-2015","EB-tree",-3.259809635786,-0.0323921248096402,-0.215567171864023,0.999493043,40.3,23.4,"Declined",257,33
"T0303","2010-2015","EB-tree",-2.76226278352904,-0.149206894741624,-0.417640216654626,0.999493043,46.6992434,8,"Declined",381,56
"T0304","2010-2015","DB-tree",-2.47423379927434,-0.118486022405824,-1.09545183932029,0.999493043,57.70003307,6.9,"Declined",414,62
"T0305","2010-2015","EB-tree",-2.4953064916241,-0.101714570254173,-0.540417574180712,0.999493043,47.69873644,13.8,"Declined",322,56
"T0306","2010-2015","EB-tree",-3.51764959899353,0.00615916671159235,-0.165790624575176,0.999493043,47.50138432,26.3,"U-shaped",390,47
"T0307","2010-2015","DB-tree",-2.8426419958285,0.0814757518616206,-1.01696059476366,0.999493043,46.6992434,38,"U-shaped",393,63
"T0308","2010-2015","EB-tree",-3.47976764682592,-0.0417849432260964,-0.126720665437101,0.999493043,36.00084813,20.4,"Declined",220,25
"T0309","2010-2015","EB-tree",-3.95981444447979,-0.198105238466639,0.862199523476907,0.999493043,32.49943938,13.5,"Unimodal",161,16
"T0310","2010-2015","EB-tree",-3.40718291776552,0.0605772842571609,-0.446526446015363,0.999493043,41.3993838,30.6,"U-shaped",461,60
"T0311","2010-2015","EB-tree",-3.77612038323114,-0.0275329701456018,0.11483687382454,0.999493043,51.90042694,30.2,"Unimodal",383,42
"T0312","2010-2015","EB-tree",-4.08028881875323,0.0242502214895843,-0.218036860208038,0.999493043,55.70104698,35,"U-shaped",331,25
"T0313","2010-2015","EB-tree",-4.70892513454295,-0.00416266888570747,0.30012873214153,0.999493043,43.99997557,31.6,"Increased",358,22
"T0314","2010-2015","EB-tree",-3.66869727545199,-0.206389684262904,1.0356194384173,0.999493043,32.90050984,12.1,"Unimodal",284,43
"T0315","2010-2015","EB-tree",-3.32868877093944,0.000125466618860792,0.0233693691703493,0.999493043,36.9,36.9,"Increased",229,39
"T0316","2010-2015","EB-tree",-3.35046577872944,-0.0791323453654351,-0.0298434434590757,0.999493043,39.80146817,9.8,"Declined",203,25
"T0317","2010-2015","EB-tree",-3.09352185748135,0.0486457524102766,-0.416038094735598,0.999493043,38.6014399,30.2,"U-shaped",296,50
"T0318","2010-2015","EB-tree",-3.2825705735055,-0.0669735163405685,0.126451629182944,0.999493043,32.49943938,15.2,"Unimodal",198,29
"T0319","2010-2015","EB-tree",-2.91697174823342,-0.149601104049386,0.411178437988821,0.999493043,20.60101583,15,"Unimodal",249,52
"T0320","2010-2015","EB-tree",-2.99700547738594,-0.101595652194217,0.285008888232195,0.999493043,25.00005846,16.4,"Unimodal",389,78
"T0401","2010-2015","DB-tree",0.115169361244962,-3.99503110653812,6.5851647630387,0.999493043,62.40147009,2.7,"Unimodal",131,15
"T0402","2010-2015","EB-tree",-2.9754609567905,0.0245218226965527,-0.595818913412937,1,62.99989267,22,"U-shaped",224,31
"T0403","2010-2015","EB-tree",-2.70170165684243,-0.101555804326296,-1.01330609430124,1,46.80110257,9.5,"Declined",225,24
"T0404","2010-2015","EB-tree",-3.41744520531008,0.0150320394711251,-0.388206154810121,1,30.29991807,25.6,"U-shaped",213,25
"T0405","2010-2015","EB-tree",-1.43998211315865,-1.35175339284857,1.90630499501164,0.999493043,55.90158221,4.2,"Unimodal",239,42
"T0406","2010-2015","EB-tree",-2.53739449290197,0.0650741342401912,-1.25783246995382,0.999493043,48.70141259,25.8,"U-shaped",287,37
"T0407","2010-2015","EB-tree",-1.83685545348928,0.159470272886227,-2.64643085200844,1.1,43.09915859,20.8,"U-shaped",171,21
"T0408","2010-2015","DB-tree",-3.74718730870431,-0.174778916428036,0.612574888090401,1,50.09879299,15.5,"Unimodal",148,15
"T0409","2010-2015","DB-tree",-2.57125676414515,0.0835853521977891,-1.16776886649603,0.999493043,44.90079255,22.2,"U-shaped",255,46
"T0410","2010-2015","EB-tree",-3.10238458806968,0.0553130953375017,-1.09812605015943,0.999493043,56.79921609,21.9,"U-shaped",387,40
"T0411","2010-2015","EB-tree",-3.5172632527199,0.0930188043432786,-0.694277274120079,0.999493043,49.1,49.1,"U-shaped",275,31
"T0412","2010-2015","EB-tree",-3.34287217410937,-0.0456894141405602,0.136880408523655,0.999493043,40.60042598,26.5,"Unimodal",221,35
"T0413","2010-2015","EB-tree",-2.83040830505651,-0.324101938582286,0.977823067324983,0.999493043,39.8,11.1,"Unimodal",255,57
"T0414","2010-2015","EB-tree",-2.60850742462847,-0.0401815130927965,-0.359470906590897,0.999493043,43.9012995,17.5,"Declined",199,40
"T0415","2010-2015","DB-tree",-2.94882629780932,-0.0706250176417364,0.157464723892841,0.999493043,37.99983421,14.4,"Unimodal",157,33
"T0416","2010-2015","DB-tree",-3.90871620086109,-0.0337761157160862,0.0532398684613227,0.999493043,43.50022905,18.6,"Unimodal",156,14
"T0417","2010-2015","EB-tree",-2.45256409381592,0.0866015634638174,-1.34944131876836,1.1,42.70127123,37.8,"U-shaped",173,32
"T0418","2010-2015","EB-tree",-4.63756006248068,-0.0077465781198571,0.513956638000877,1.101352206,36.30005942,26.1,"Increased",165,17
"T0419","2010-2015","EB-tree",-3.9238842984762,0.0499260460502888,-0.11960675121557,0.999493043,32.8,32.8,"U-shaped",379,40
"T0420","2010-2015","EB-tree",-4.12565370347791,-0.120127846746967,0.633899171181515,1.1,23.30028367,20.7,"Unimodal",476,47
"T0501","2010-2015","EB-tree",-2.32967792147537,-0.0231367127666277,-0.727439479566789,0.999493043,41.89913032,9.3,"Declined",203,43
"T0502","2010-2015","EB-tree",-2.11858798676141,0.0642879834428043,-1.53087533679639,0.999493043,30.59912936,18,"U-shaped",251,47
"T0503","2010-2015","DB-tree",-2.64350034852429,-0.199282727043732,0.00339751409664282,0.999493043,87.50020461,11.3,"Declined",173,30
"T0504","2010-2015","EB-tree",-2.66424458210173,-0.014803705799072,-0.247949859607974,0.999493043,39.80146817,21.9,"Declined",224,55
"T0505","2010-2015","DB-tree",-3.18459947715515,-0.213703372584707,0.674892142602768,0.999493043,62.40147009,16.6,"Unimodal",209,35
"T0506","2010-2015","EB-tree",-3.69903870668848,-0.00294249072753951,0.0550597594426464,1.2,55.0994413,22,"Unimodal",226,28
"T0507","2010-2015","EB-tree",-3.21079864350597,-0.0305286679391179,-0.343631172693183,0.999493043,46.30135604,11.4,"Declined",456,60
"T0508","2010-2015","EB-tree",-3.20931536857588,0.0907506083735124,-1.18022771445841,0.999493043,33.60079159,20.5,"U-shaped",208,23
"T0509","2010-2015","EB-tree",-3.04967631707429,0.0616708801952676,-0.910235850847041,0.999493043,37.50008769,33.4,"U-shaped",262,35
"T0510","2010-2015","DB-tree",-2.84101143066745,-0.0435999994496096,-0.141490492217506,0.999493043,60.50116007,16.6,"Declined",301,62
"T0511","2010-2015","EB-tree",-2.83396226282191,-0.287044552850316,0.750953200291733,0.999493043,50.59853951,10.5,"Unimodal",269,57
"T0512","2010-2015","EB-tree",-3.16792274522656,-0.0307458622999703,0.0651630994458112,0.999493043,41.89913032,16.3,"Unimodal",448,82
"T0513","2010-2015","EB-tree",-3.51375813631745,-0.0275955733427869,-0.229000686779059,0.999493043,33.80132681,27.4,"Declined",309,30
"T0514","2010-2015","EB-tree",-3.6469968841303,-0.0708275972669234,0.0539779339590642,0.999493043,38.99932726,15.4,"Declined",351,35
"T0515","2010-2015","EB-tree",-4.05886396961113,0.0180301547635641,0.0818351295951937,0.999493043,37.50008769,27.8,"Increased",224,23
"T0516","2010-2015","EB-tree",-3.75988535474675,-0.19929714648981,1.00199607716612,0.999493043,36,19.7,"Unimodal",198,26
"T0517","2010-2015","EB-tree",-3.10585123257163,-0.0614673394812972,0.155747179058494,0.999493043,31.5986224,29.9,"Unimodal",157,29
"T0518","2010-2015","EB-tree",-3.46824966717268,-0.110110283590415,0.393094600102563,1.1,27.10090371,12.9,"Unimodal",160,22
"T0519","2010-2015","EB-tree",-3.35673058179317,0.0286923728346082,-0.15868461036738,0.999493043,30.39859413,25.6,"U-shaped",242,37
"T0520","2010-2015","EB-tree",-2.59684077003015,0.216462985290391,-1.54984498687541,0.999493043,35.7,35.7,"U-shaped",391,58
"T0601","2010-2015","DB-tree",-2.4989087509697,-0.139001800301667,0.576132459424109,0.999493043,57.29896261,18.8,"Unimodal",197,68
"T0602","2010-2015","EB-tree",-2.46137594439768,-0.00490407698330105,-0.206374563462977,1.1,49.79958169,19.5,"Declined",379,114
"T0603","2010-2015","EB-tree",-3.3508343371348,0.0365504937852676,-0.248169919357288,0.999493043,53.5,53.5,"U-shaped",269,41
"T0604","2010-2015","EB-tree",-3.08084173338734,-0.0481859854794562,-0.676818025409216,0.999493043,53.80073696,18.2,"Declined",346,38
"T0605","2010-2015","EB-tree",-2.59863173098851,0.0331224101331042,-0.69472887853219,0.999493043,27.99853759,24.6,"U-shaped",323,61
"T0606","2010-2015","EB-tree",-3.14832584441039,-0.0531786309393692,0.137567312409961,1.1,40.30121469,22.8,"Unimodal",321,56
"T0607","2010-2015","EB-tree",-4.0928845596717,-0.0238855648350308,0.316889146932998,0.999493043,37.00034117,27.2,"Unimodal",207,23
"T0608","2010-2015","EB-tree",-3.34958415626834,0.0202573096725624,-0.662387672459075,0.999493043,54.50101871,21.5,"U-shaped",251,24
"T0609","2010-2015","EB-tree",-3.22537683606167,0.00794452025472818,-0.449432727768932,0.999493043,53.50152567,13.2,"Declined",330,40
"T0610","2010-2015","EB-tree",-3.3825693606226,-0.201013454913987,0.453665752404493,0.999493043,38.40090467,12.6,"Unimodal",312,39
"T0611","2010-2015","EB-tree",-3.51211114698727,-0.0682117594785712,0.333475014341155,0.999493043,44.40104602,17,"Unimodal",317,47
"T0612","2010-2015","EB-tree",-3.76144340485746,-0.218635004876698,0.968198309572352,0.999493043,36,11.8,"Unimodal",274,35
"T0613","2010-2015","EB-tree",-3.37055993825444,0.0137147860865891,-0.583740337821354,0.999493043,28.7,15.4,"Declined",219,21
"T0614","2010-2015","EB-tree",-4.02168011615398,-0.151084806865199,0.901849906673854,1.1,56.29946957,19.1,"Unimodal",270,33
"T0615","2010-2015","EB-tree",-3.94910904642121,-0.208781031619317,0.92065391945914,0.999493043,30,18.6,"Unimodal",255,27
"T0616","2010-2015","EB-tree",-3.50135803628632,-0.657198410760881,1.79395505242742,1,37.2008764,7.9,"Unimodal",239,21
"T0617","2010-2015","EB-tree",-2.81499708336458,0.147418398707604,-1.04299011696213,1.1,25.00005846,22.2,"U-shaped",400,62
"T0618","2010-2015","EB-tree",-2.59561236435855,0.0943304503043939,-0.902278478860259,0.999493043,29.30042502,29,"U-shaped",299,60
"T0619","2010-2015","EB-tree",-2.90865853643542,-0.104027186195583,-0.0783320805111114,0.999493043,32.40076331,12.7,"Declined",379,62
"T0620","2010-2015","EB-tree",-2.46747723639631,0.143324047343287,-1.23162998736864,1,37.6,37.6,"U-shaped",332,59
"T0701","2010-2015","EB-tree",-2.81838772094058,0.0116651918344353,-0.28812498503237,0.999493043,44.90079255,27.9,"U-shaped",303,62
"T0702","2010-2015","EB-tree",-4.15619947923842,-0.105210927536431,0.729267154187587,0.999493043,46.80110257,16.7,"Unimodal",350,35
"T0703","2010-2015","EB-tree",-4.05415791679654,-0.160587727970841,0.851830489071618,0.999493043,48.39901819,12.8,"Unimodal",357,37
"T0704","2010-2015","EB-tree",-3.72562432273137,0.0271195635275524,-0.354704483963975,0.999493043,44.09865163,32.1,"U-shaped",305,29
"T0705","2010-2015","EB-tree",-2.99453811079864,-0.018493707071511,-0.339604696492981,0.999493043,42.30020077,19.20045233,"Declined",501,82
"T0706","2010-2015","EB-tree",-2.43069075647968,0.0567911326675879,-0.641577626829097,0.999493043,36.39873549,31.4,"U-shaped",245,56
"T0707","2010-2015","EB-tree",-2.04481264549875,-0.308525930121726,-0.0423635960757113,0.999493043,35.69845374,8.8,"Declined",261,46
"T0708","2010-2015","EB-tree",-3.25567283497691,-0.0386475722629996,-0.159986869333193,1.1,38.29904551,16.8,"Declined",356,44
"T0709","2010-2015","EB-tree",-3.11231765896511,-0.117141647357497,0.2428673256275,0.999493043,39.19986248,16.5,"Unimodal",269,41
"T0710","2010-2015","EB-tree",-3.57536956702099,0.0308805479942439,-0.35165775476117,0.999493043,34.49842546,31.8,"U-shaped",218,23
"T0711","2010-2015","EB-tree",-3.58286972710443,0.05484674039576,-0.388063382032201,0.999493043,32.69997461,28.2,"U-shaped",275,31
"T0712","2010-2015","EB-tree",-3.02702515155314,0.0551301470570902,-0.506470703833731,0.999493043,45.3,45.3,"U-shaped",193,33
"T0713","2010-2015","EB-tree",-3.40057544583721,0.0150973183739064,-0.0826758831868382,1.1,38.20036944,36.8,"U-shaped",180,28
"T0714","2010-2015","EB-tree",-2.94935503227321,-0.0500826691938209,-0.138957905655397,0.999493043,39.60093294,20.9,"Declined",245,39
"T0715","2010-2015","EB-tree",-3.80052562529115,-0.178828731828421,0.447057101960583,0.999493043,23.00107238,14.4,"Unimodal",396,35
"T0716","2010-2015","EB-tree",-3.02708734269934,0.0730358002119746,-0.588133940256608,0.999493043,39.8,39.8,"U-shaped",396,62
"T0717","2010-2015","EB-tree",-2.69713485395592,-0.0696293013835689,-0.191649994786293,0.999493043,23.19842451,16.8,"Declined",426,80
"T0718","2010-2015","EB-tree",-3.35319299912612,0.060977871178721,-0.529546122555825,0.999493043,24.29977671,22.6,"U-shaped",731,88
"T0719","2010-2015","EB-tree",-2.91240932173404,0.0475735345083784,-0.695806438419235,1.1,26.40062196,24.6,"U-shaped",447,70
"T0720","2010-2015","EB-tree",-2.87498080117023,0.0423079518575544,-0.453330577589979,0.999493043,33.90000288,20.7,"U-shaped",509,93
"T0801","2010-2015","EB-tree",-3.33328719038637,0.0697435365579473,-0.473047729725513,0.999493043,45.4,45.4,"U-shaped",266,38
"T0802","2010-2015","EB-tree",-2.96708734570635,0.0147156358329489,-0.282287463412211,0.999493043,36.59927071,32.2,"U-shaped",211,38
"T0803","2010-2015","EB-tree",-4.11809743486825,-0.334218054886923,1.52296951295612,0.999493043,56.79921609,9.9,"Unimodal",172,16
"T0804","2010-2015","EB-tree",-4.46125991374979,-0.230444509485941,1.56917976312294,0.999493043,46.30135604,20.4,"Unimodal",223,26
"T0805","2010-2015","EB-tree",-3.55929547642219,-0.0730862198865222,-0.0291862605708139,1,51.20014519,23.2,"Declined",160,14
"T0806","2010-2015","EB-tree",-4.27815987189854,-0.170275244411119,1.31217822639436,0.999493043,47.10031386,23.4,"Unimodal",153,23
"T0807","2010-2015","EB-tree",-3.30157709398987,0.00562204933587767,-0.266536476236761,0.999493043,42.7999473,25,"Declined",235,30
"T0808","2010-2015","EB-tree",-2.92292588618665,-0.0529503767402922,0.00551949053021089,0.999493043,37.2008764,28.3,"Declined",214,39
"T0809","2010-2015","EB-tree",-3.03243799582335,-0.0293818268343353,0.038770990585513,0.999493043,35.30056638,29.3,"Unimodal",211,41
"T0810","2010-2015","EB-tree",-3.88279346589938,-0.0672862272168407,0.249414501090445,0.999493043,32.79865067,21.8,"Unimodal",285,28
"T0811","2010-2015","EB-tree",-3.10636286094134,-0.00784773757803151,-0.283880756316215,0.999493043,26.69983325,21.1,"Declined",245,36
"T0812","2010-2015","EB-tree",-3.40833390977,-0.00353369475906098,-0.235647710566998,0.999493043,32.69997461,26.1,"Declined",316,39
"T0813","2010-2015","EB-tree",-3.14873957819164,-0.10664570935504,-0.105172507214934,0.999493043,46.30135604,19.7,"Declined",315,38
"T0814","2010-2015","EB-tree",-3.17648461685575,-0.00137264694507417,-0.251456672900116,0.999493043,33.19972113,32.6,"Declined",219,33
"T0815","2010-2015","EB-tree",-2.76491326287808,0.0412908635038374,-0.307578561497847,0.999493043,46.40003211,30.3,"U-shaped",234,56
"T0816","2010-2015","EB-tree",-3.29662968332872,-0.337355295762416,1.38384841117133,1.1,24.00056542,10.5,"Unimodal",379,83
"T0817","2010-2015","EB-tree",-2.69424375812993,0.019323383550436,-0.528059897871876,0.999493043,32.20022809,25.6,"U-shaped",431,81
"T0818","2010-2015","EB-tree",-3.56844484696939,0.0287281597900508,-0.103837854845067,0.999493043,22.89921321,18.6,"U-shaped",605,81
"T0819","2010-2015","EB-tree",-2.82076367720117,-0.0813504839846411,-0.0842989443662919,1,22.30079063,13.4,"Declined",629,120
"T0820","2010-2015","EB-tree",-3.33793081294611,0.0562904550885297,-0.399788009317422,1.1,42.00098948,31.8,"U-shaped",749,101
"T0901","2010-2015","EB-tree",-4.22358319255087,-0.148420600477567,0.730980375944972,1.1,60.80037136,13.8,"Unimodal",164,14
"T0902","2010-2015","EB-tree",-3.525170722273,-0.0284304005482911,0.212030894191006,1,47,47,"Unimodal",249,38
"T0903","2010-2015","EB-tree",-4.3088542012769,-0.128677935592657,0.948598255592487,0.999493043,39.60093294,22.9,"Unimodal",218,23
"T0904","2010-2015","EB-tree",-5.08104850805399,-0.138796408155276,1.09394298744116,1.1,37.90115815,22.6,"Unimodal",282,17
"T0905","2010-2015","EB-tree",-4.37685339480235,0.0457765287191638,0.0473461615172066,1.101352206,57.9,57.9,"Increased",234,22
"T0906","2010-2015","EB-tree",-4.16323636667032,0.0719825576222665,-0.334197456893234,0.999493043,45.10132777,43.2,"U-shaped",239,20
"T0907","2010-2015","EB-tree",-4.22956699085573,-0.0534575571450624,0.556276154043443,0.999493043,38.70011596,19.7,"Unimodal",199,22
"T0908","2010-2015","EB-tree",-5.3833316418325,-0.0458102393714418,1.08130880127464,0.999493043,40.49856682,25.6,"Unimodal",259,22
"T0909","2010-2015","EB-tree",-3.95267431309923,0.0142807321524145,0.0617054504482203,1.1,43.79944034,43.4,"Increased",245,27
"T0910","2010-2015","EB-tree",-3.7598791934325,-0.73553596334498,2.41692408678417,0.999493043,33.19972113,9.6,"Unimodal",259,27
"T0911","2010-2015","EB-tree",-3.51360364305492,-0.14631972182394,0.875430427072478,1,37.29955246,33.1,"Unimodal",244,48
"T0912","2010-2015","EB-tree",-3.44932664915248,0.0220119996313502,-0.0573931428001027,0.999493043,34.60028463,27.9,"U-shaped",209,33
"T0913","2010-2015","EB-tree",-3.21898055410207,-0.0972416965666431,0.43428717446525,0.999493043,33.10104506,16.6,"Unimodal",294,56
"T0914","2010-2015","EB-tree",-2.94787278627717,0.0565323551757272,-0.654634617026442,0.999493043,29.39910109,23.6,"U-shaped",345,56
"T0915","2010-2015","EB-tree",-3.02721153430289,-0.742236867223367,1.78268437443349,0.999493043,36.70112988,6.4,"Unimodal",302,40
"T0916","2010-2015","EB-tree",-3.73333414770741,-0.0716647405669279,0.748457417469145,1.1,37.59876376,32.1,"Unimodal",344,64
"T0917","2010-2015","EB-tree",-2.66235866486352,-0.0442943278884656,-0.481209885004499,0.999493043,26.69983325,26.4,"Declined",292,49
"T0918","2010-2015","EB-tree",-3.44362977773092,0.0121906706768835,-0.206932716931713,0.999493043,27.400115,25.5,"U-shaped",350,43
"T0919","2010-2015","EB-tree",-4.08216246723783,-0.170803266951143,0.836430213505682,0.999493043,20.90022713,18.6,"Unimodal",338,37
"T0920","2010-2015","EB-tree",-2.97112282585882,0.012439205480998,-0.305717820815311,1.101352206,21.10076236,17.2,"Declined",516,92
"T1001","2010-2015","EB-tree",-3.06714052010537,0.075524865927601,-1.17539760782225,0.999493043,63.29910397,54.7,"U-shaped",196,19
"T1002","2010-2015","EB-tree",-3.82156721097383,-0.0592870504688569,0.286230377354947,1.1,40.19935553,28,"Unimodal",241,27
"T1003","2010-2015","EB-tree",-3.7421139316937,0.084321001642913,-0.345658960144742,0.999493043,52.5,52.5,"U-shaped",206,27
"T1004","2010-2015","EB-tree",-3.66064901781821,-0.0690027149257469,0.504091323730025,1.1,49.09929994,20.3,"Unimodal",207,33
"T1005","2010-2015","EB-tree",-3.48113222920509,-0.0436797879410714,-0.00289547672674256,1.1,42.09966555,21.4,"Declined",247,30
"T1006","2010-2015","EB-tree",-4.71357824497974,-0.127801223671943,1.07154042949052,1,51.20014519,20.6,"Unimodal",163,15
"T1007","2010-2015","EB-tree",-3.86164176388213,-0.0106992055701859,-0.0554825157537146,0.999493043,45.99896165,31.4,"Declined",241,22
"T1008","2010-2015","EB-tree",-4.98197305095729,-0.188130487528429,1.58922867297029,0.999493043,42.59941207,29.2,"Unimodal",230,25
"T1009","2010-2015","EB-tree",-3.46243351706324,0.0181653218607977,-0.67775247648571,0.999493043,47.69873644,16.8,"U-shaped",235,20
"T1010","2010-2015","DB-tree",-3.73867557579183,-0.150601093182417,0.291760674215338,0.999493043,37.40141163,11.6,"Unimodal",263,23
"T1011","2010-2015","EB-tree",-4.05029130815166,-0.0290755815255557,0.456560095661165,0.999493043,43.29969382,27.3,"Unimodal",263,34
"T1012","2010-2015","EB-tree",-3.47675480331482,-0.0221397531422352,0.403407114165707,0.999493043,37.1,37.1,"Unimodal",237,49
"T1013","2010-2015","DB-tree",-3.74570579940705,-0.00663026340306617,0.0106450431253194,0.999493043,43.50022905,20.4,"Unimodal",364,40
"T1014","2010-2015","EB-tree",-3.14428366205085,0.0417291125431653,-0.399560258893228,0.999493043,47.39952515,31.2,"U-shaped",461,73
"T1015","2010-2015","EB-tree",-3.20237473914688,0.0756827271127195,-0.862127396362323,0.999493043,41.4,32.5,"U-shaped",433,52
"T1016","2010-2015","EB-tree",-4.09938542739357,0.00796630609186865,0.128456823990168,1.1,43.29969382,35.7,"Increased",371,35
"T1017","2010-2015","EB-tree",-2.96193201579298,-0.0730644222769289,-0.199662625549517,0.999493043,36.20138336,18.1,"Declined",339,52
"T1018","2010-2015","EB-tree",-3.76336755213012,-0.146552686373519,0.460206813595428,1,33.49893242,22.2,"Unimodal",315,33
"T1019","2010-2015","EB-tree",-3.6054604265068,-0.0773292336366449,0.339744139606353,1.101352206,35.69845374,27.2,"Unimodal",292,40
"T1020","2010-2015","EB-tree",-2.97534790003498,0.0109487199997776,-0.106977836042142,0.999493043,27.80118546,25.1,"U-shaped",250,53
