PFT,model,a,b,c,lambda,pattern,minDBH,maxDBH,n_trees,n_species
EB-tree,JAGS_censusRE,-2.766127300203615,0.040003169262385584,-0.7298255051991127,18.244192114182248,U-shaped,0.7957747154594771,83.301697214298,368698,54
EB-shrub,JAGS_censusRE,-3.1079477534252327,0.10769555016136116,-1.039554325893787,9.652713824630766,U-shaped,0.8912676813146141,29.6028194150925,63516,18
EN-tree,JAGS_censusRE,-2.246288863410049,-0.30836004770033454,0.6405679450054195,2.0773376764681455,Unimodal,0.9867606471697508,38.6014399,263,3
DB-tree,JAGS_censusRE,-2.025493251672671,-0.010648197870942951,-0.5715212734935622,-53.67305157365104,Declined,0.954929658551372,90.40000767619661,31665,61
DB-shrub,JAGS_censusRE,-1.8865194874831013,0.18471600296921356,-0.6983413960636313,3.780622062182794,U-shaped,0.9867606470000002,14.2602829010338,4685,21
